A分支-x86_64（二进制包名）,A分支-x86_64（二进制对应源码包名）,A分支-aarch64（二进制包名）,A分支-aarch64（二进制对应源码包名）,A分支-loongarch64（二进制包名）,A分支-loongarch64（二进制对应源码包名）,E分支-x86_64（二进制包名）,E分支-x86_64（二进制对应源码包名）,E分支-aarch64（二进制包名）,E分支-aarch64（二进制对应源码包名）,,,,,,,,,,,,,,,
389-ds-base,389-ds-base,389-ds-base,389-ds-base,389-ds-base,389-ds-base,389-ds-base,389-ds-base,389-ds-base,389-ds-base,,,,,,,,,,,,,,,
389-ds-base-devel,389-ds-base,389-ds-base-devel,389-ds-base,389-ds-base-devel,389-ds-base,389-ds-base-devel,389-ds-base,389-ds-base-devel,389-ds-base,,,,,,,,,,,,,,,
389-ds-base-legacy-tools,389-ds-base,389-ds-base-legacy-tools,389-ds-base,389-ds-base-legacy-tools,389-ds-base,389-ds-base-libs,389-ds-base,389-ds-base-libs,389-ds-base,,,,,,,,,,,,,,,
389-ds-base-libs,389-ds-base,389-ds-base-libs,389-ds-base,389-ds-base-libs,389-ds-base,389-ds-base-snmp,389-ds-base,389-ds-base-snmp,389-ds-base,,,,,,,,,,,,,,,
389-ds-base-snmp,389-ds-base,389-ds-base-snmp,389-ds-base,389-ds-base-snmp,389-ds-base,BackupPC,BackupPC,BackupPC,BackupPC,,,,,,,,,,,,,,,
BackupPC,BackupPC,BackupPC,BackupPC,BackupPC,BackupPC,BackupPC-XS,BackupPC-XS,BackupPC-XS,BackupPC-XS,,,,,,,,,,,,,,,
BackupPC-XS,BackupPC-XS,BackupPC-XS,BackupPC-XS,BackupPC-XS,BackupPC-XS,CUnit,CUnit,CUnit,CUnit,,,,,,,,,,,,,,,
CUnit,CUnit,CUnit,CUnit,CUnit,CUnit,GConf2,GConf2,GConf2,GConf2,,,,,,,,,,,,,,,
GConf2,GConf2,GConf2,GConf2,GConf2,GConf2,GeoIP,GeoIP,GeoIP,GeoIP,,,,,,,,,,,,,,,
GeoIP,GeoIP,GeoIP,GeoIP,GeoIP,GeoIP,GeoIP-GeoLite-data,GeoIP-GeoLite-data,GeoIP-GeoLite-data,GeoIP-GeoLite-data,,,,,,,,,,,,,,,
GeoIP-GeoLite-data,GeoIP-GeoLite-data,GeoIP-GeoLite-data,GeoIP-GeoLite-data,GeoIP-GeoLite-data,GeoIP-GeoLite-data,HdrHistogram,HdrHistogram,ImageMagick,ImageMagick,,,,,,,,,,,,,,,
HdrHistogram_c,HdrHistogram_c,HdrHistogram_c,HdrHistogram_c,HdrHistogram_c,HdrHistogram_c,HdrHistogram-javadoc,HdrHistogram,ImageMagick-help,ImageMagick,,,,,,,,,,,,,,,
ImageMagick,ImageMagick,ImageMagick,ImageMagick,ImageMagick,ImageMagick,ImageMagick,ImageMagick,Judy,Judy,,,,,,,,,,,,,,,
ImageMagick-libs,ImageMagick,ImageMagick-libs,ImageMagick,ImageMagick-libs,ImageMagick,ImageMagick-help,ImageMagick,LibRaw,LibRaw,,,,,,,,,,,,,,,
LibRaw,LibRaw,ModemManager,ModemManager,ModemManager,ModemManager,Judy,Judy,ModemManager,ModemManager,,,,,,,,,,,,,,,
ModemManager,ModemManager,ModemManager-glib,ModemManager,ModemManager-glib,ModemManager,LibRaw,LibRaw,ModemManager-glib,ModemManager,,,,,,,,,,,,,,,
ModemManager-glib,ModemManager,NetworkManager,NetworkManager,NetworkManager,NetworkManager,ModemManager,ModemManager,NetworkManager,NetworkManager,,,,,,,,,,,,,,,
