cveid,pub_time,vul_level,source,status,fixed_version,binary,architecture,vul_name,score,vul_category,description,cve_description,utsa_id
UT-2023-0011,2023-12-06,high,dde-control-center,fixed,dde-control-center-5.5.182-10.uelc20.01,,"X86,MIPS,ARM",,7.8,,统信桌面版配置了设置AD domain的polkit规则，底层调用了systemctl。该规则没有鉴权，所有攻击者均可通过该规则以root权限调用systemctl。低权限攻击者可以通过该漏洞新建并启动服务，实现权限提升,,UTSA-2023-003657
CVE-2022-24963,2023-01-31,critical,apr,unaffected,,,"X86,MIPS,ARM",,9.8,,,"Integer Overflow or Wraparound vulnerability in apr_encode functions of Apache Portable Runtime (APR) allows an attacker to write beyond bounds of a buffer.
This issue affects Apache Portable Runtime (APR) version 1.7.0.",
CVE-2023-44398,2023-11-06,high,compat-exiv2-026,unaffected,,,"X86,MIPS,ARM",,8.8,,,"Exiv2 is a C++ library and a command-line utility to read, write, delete and modify Exif, IPTC, XMP and ICC image metadata. An out-of-bounds write was found in Exiv2 version v0.28.0. The vulnerable function, `BmffImage::brotliUncompress`, is new in v0.28.0, so earlier versions of Exiv2 are _not_ affected. The out-of-bounds write is triggered when Exiv2 is used to read the metadata of a crafted image file. An attacker could potentially exploit the vulnerability to gain code execution, if they can trick the victim into running Exiv2 on a crafted image file. This bug is fixed in version v0.28.1. Users are advised to upgrade. There are no known workarounds for this vulnerability.",
CVE-2010-3872,2010-11-20,high,mod_fcgid,fixed,mod_fcgid-2.3.9-18.uelc20.2,,"X86,MIPS,ARM",,7.2,,,"A flaw was found in the mod_fcgid module of httpd. A malformed FastCGI response may result in a stack-based buffer overflow in the modules/fcgid/fcgid_bucket.c file in the fcgid_header_bucket_read() function, resulting in an application crash.",UTSA-2023-003134
CVE-2007-4559,2007-08-27,medium,python-pip,fixed,python-pip-9.0.3-23.0.1.uelc20,,"X86,MIPS,ARM",,6.8,,,"Directory traversal vulnerability in the (1) extract and (2) extractall functions in the tarfile module in Python allows user-assisted remote attackers to overwrite arbitrary files via a .. (dot dot) sequence in filenames in a TAR archive, a related issue to CVE-2001-1267.",UTSA-2023-003658
CVE-2023-5574,2023-10-25,high,tigervnc,unaffected,,,"X86,MIPS,ARM",,7,,,"A use-after-free flaw was found in xorg-x11-server-Xvfb. This issue occurs in Xvfb with a very specific and legacy configuration (a multi-screen setup with multiple protocol screens, also known as Zaphod mode). If the pointer is warped from a screen 1 to a screen 0, a use-after-free issue may be triggered during shutdown or reset of the Xvfb server, allowing for possible escalation of privileges or denial of service.",
CVE-2023-46853,2023-10-27,critical,memcached,fixed,memcached-1.6.22-1.0.2.uelc20.01,,"X86,MIPS,ARM",,9.8,,,"In Memcached before 1.6.22, an off-by-one error exists when processing proxy requests in proxy mode, if \n is used instead of \r\n.",UTSA-2023-003602
CVE-2023-46852,2023-10-27,high,memcached,fixed,memcached-1.6.22-1.0.2.uelc20.01,,"X86,MIPS,ARM",,7.5,,,"In Memcached before 1.6.22, a buffer overflow exists when processing multiget requests in proxy mode, if there are many spaces after the ""get"" substring.",UTSA-2023-003603
CVE-2023-34059,2023-10-27,high,open-vm-tools,fixed,open-vm-tools-12.2.5-3.uelc20.02,,"X86,MIPS,ARM",,7,,,"open-vm-tools contains a file descriptor hijack vulnerability in the vmware-user-suid-wrapper. A malicious actor with non-root privileges may be able to hijack the 
/dev/uinput file descriptor allowing them to simulate user inputs.",UTSA-2023-003659
CVE-2023-34058,2023-10-27,high,open-vm-tools,fixed,open-vm-tools-12.2.5-3.uelc20.02,,"X86,MIPS,ARM",,7.5,,,VMware Tools contains a SAML token signature bypass vulnerability. A malicious actor that has been granted  Guest Operation Privileges https://docs.vmware.com/en/VMware-vSphere/8.0/vsphere-security/GUID-6A952214-0E5E-4CCF-9D2A-90948FF643EC.html  in a target virtual machine may be able to elevate their privileges if that target virtual machine has been assigned a more privileged  Guest Alias https://vdc-download.vmware.com/vmwb-repository/dcr-public/d1902b0e-d479-46bf-8ac9-cee0e31e8ec0/07ce8dbd-db48-4261-9b8f-c6d3ad8ba472/vim.vm.guest.AliasManager.html .,UTSA-2023-003660
CVE-2023-46234,2023-10-26,high,grafana,unaffected,,,"X86,MIPS,ARM",,7.5,,,"browserify-sign is a package to duplicate the functionality of node's crypto public key functions, much of this is based on Fedor Indutny's work on indutny/tls.js. An upper bound check issue in `dsaVerify` function allows an attacker to construct signatures that can be successfully verified by any public key, thus leading to a signature forgery attack. All places in this project that involve DSA verification of user-input signatures will be affected by this vulnerability. This issue has been patched in version 4.2.2.
",
CVE-2023-46234,2023-10-26,high,mozjs60,unaffected,,,"X86,MIPS,ARM",,7.5,,,"browserify-sign is a package to duplicate the functionality of node's crypto public key functions, much of this is based on Fedor Indutny's work on indutny/tls.js. An upper bound check issue in `dsaVerify` function allows an attacker to construct signatures that can be successfully verified by any public key, thus leading to a signature forgery attack. All places in this project that involve DSA verification of user-input signatures will be affected by this vulnerability. This issue has been patched in version 4.2.2.
",
CVE-2023-5732,2023-10-24,medium,firefox,fixed,firefox-115.4.0-1.uelc20.02,,"X86,MIPS,ARM",,6.5,,,"An attacker could have created a malicious link using bidirectional characters to spoof the location in the address bar when visited. This vulnerability affects Firefox < 117, Firefox ESR < 115.4, and Thunderbird < 115.4.1.",UTSA-2023-003512
CVE-2023-5732,2023-10-24,medium,thunderbird,fixed,thunderbird-115.4.1-1.uelc20.02,,"X86,MIPS,ARM",,6.5,,,"An attacker could have created a malicious link using bidirectional characters to spoof the location in the address bar when visited. This vulnerability affects Firefox < 117, Firefox ESR < 115.4, and Thunderbird < 115.4.1.",UTSA-2023-003513
CVE-2023-5730,2023-10-24,critical,firefox,fixed,firefox-115.4.0-1.uelc20.02,,"X86,MIPS,ARM",,9.8,,,"Memory safety bugs present in Firefox 118, Firefox ESR 115.3, and Thunderbird 115.3. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 119, Firefox ESR < 115.4, and Thunderbird < 115.4.1.",UTSA-2023-003514
CVE-2023-5730,2023-10-24,critical,thunderbird,fixed,thunderbird-115.4.1-1.uelc20.02,,"X86,MIPS,ARM",,9.8,,,"Memory safety bugs present in Firefox 118, Firefox ESR 115.3, and Thunderbird 115.3. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 119, Firefox ESR < 115.4, and Thunderbird < 115.4.1.",UTSA-2023-003515
CVE-2023-5728,2023-10-24,high,firefox,fixed,firefox-115.4.0-1.uelc20.02,,"X86,MIPS,ARM",,7.5,,,"During garbage collection extra operations were performed on a object that should not be. This could have led to a potentially exploitable crash. This vulnerability affects Firefox < 119, Firefox ESR < 115.4, and Thunderbird < 115.4.1.",UTSA-2023-003516
CVE-2023-5728,2023-10-24,high,thunderbird,fixed,thunderbird-115.4.1-1.uelc20.02,,"X86,MIPS,ARM",,7.5,,,"During garbage collection extra operations were performed on a object that should not be. This could have led to a potentially exploitable crash. This vulnerability affects Firefox < 119, Firefox ESR < 115.4, and Thunderbird < 115.4.1.",UTSA-2023-003517
CVE-2023-5727,2023-10-24,medium,firefox,unaffected,,,"X86,MIPS,ARM",,6.5,,,"The executable file warning was not presented when downloading .msix, .msixbundle, .appx, and .appxbundle files, which can run commands on a user's computer.  
*Note: This issue only affected Windows operating systems. Other operating systems are unaffected.* This vulnerability affects Firefox < 119, Firefox ESR < 115.4, and Thunderbird < 115.4.1.",
CVE-2023-5727,2023-10-24,medium,thunderbird,unaffected,,,"X86,MIPS,ARM",,6.5,,,"The executable file warning was not presented when downloading .msix, .msixbundle, .appx, and .appxbundle files, which can run commands on a user's computer.  
*Note: This issue only affected Windows operating systems. Other operating systems are unaffected.* This vulnerability affects Firefox < 119, Firefox ESR < 115.4, and Thunderbird < 115.4.1.",
CVE-2023-5726,2023-10-24,medium,firefox,unaffected,,,"X86,MIPS,ARM",,4.3,,,"A website could have obscured the full screen notification by using the file open dialog. This could have led to user confusion and possible spoofing attacks. 
*Note: This issue only affected macOS operating systems. Other operating systems are unaffected.* This vulnerability affects Firefox < 119, Firefox ESR < 115.4, and Thunderbird < 115.4.1.",
CVE-2023-5726,2023-10-24,medium,thunderbird,unaffected,,,"X86,MIPS,ARM",,4.3,,,"A website could have obscured the full screen notification by using the file open dialog. This could have led to user confusion and possible spoofing attacks. 
*Note: This issue only affected macOS operating systems. Other operating systems are unaffected.* This vulnerability affects Firefox < 119, Firefox ESR < 115.4, and Thunderbird < 115.4.1.",
CVE-2023-5725,2023-10-24,medium,firefox,fixed,firefox-115.4.0-1.uelc20.02,,"X86,MIPS,ARM",,4.3,,,"A malicious installed WebExtension could open arbitrary URLs, which under the right circumstance could be leveraged to collect sensitive user data. This vulnerability affects Firefox < 119, Firefox ESR < 115.4, and Thunderbird < 115.4.1.",UTSA-2023-003518
CVE-2023-5725,2023-10-24,medium,thunderbird,fixed,thunderbird-115.4.1-1.uelc20.02,,"X86,MIPS,ARM",,4.3,,,"A malicious installed WebExtension could open arbitrary URLs, which under the right circumstance could be leveraged to collect sensitive user data. This vulnerability affects Firefox < 119, Firefox ESR < 115.4, and Thunderbird < 115.4.1.",UTSA-2023-003519
CVE-2023-5724,2023-10-24,high,firefox,fixed,firefox-115.4.0-1.uelc20.02,,"X86,MIPS,ARM",,7.5,,,"Drivers are not always robust to extremely large draw calls and in some cases this scenario could have led to a crash. This vulnerability affects Firefox < 119, Firefox ESR < 115.4, and Thunderbird < 115.4.1.",UTSA-2023-003520
CVE-2023-5724,2023-10-24,high,thunderbird,fixed,thunderbird-115.4.1-1.uelc20.02,,"X86,MIPS,ARM",,7.5,,,"Drivers are not always robust to extremely large draw calls and in some cases this scenario could have led to a crash. This vulnerability affects Firefox < 119, Firefox ESR < 115.4, and Thunderbird < 115.4.1.",UTSA-2023-003521
CVE-2023-5721,2023-10-24,medium,firefox,fixed,firefox-115.4.0-1.uelc20.02,,"X86,MIPS,ARM",,4.3,,,"It was possible for certain browser prompts and dialogs to be activated or dismissed unintentionally by the user due to an insufficient activation-delay. This vulnerability affects Firefox < 119, Firefox ESR < 115.4, and Thunderbird < 115.4.1.",UTSA-2023-003522
CVE-2023-5721,2023-10-24,medium,thunderbird,fixed,thunderbird-115.4.1-1.uelc20.02,,"X86,MIPS,ARM",,4.3,,,"It was possible for certain browser prompts and dialogs to be activated or dismissed unintentionally by the user due to an insufficient activation-delay. This vulnerability affects Firefox < 119, Firefox ESR < 115.4, and Thunderbird < 115.4.1.",UTSA-2023-003523
