cveid,pub_time,vul_level,source,status,fixed_version,binary,architecture,vul_name,score,vul_category,description,cve_description,utsa_id
CVE-2023-6507,2023-12-08,,python2.7,unaffected,,,"X86,MIPS,ARM",,,,,"An issue was found in CPython 3.12.0 `subprocess` module on POSIX platforms. The issue was fixed in CPython 3.12.1 and does not affect other stable releases.

When using the `extra_groups=` parameter with an empty list as a value (ie `extra_groups=[]`) the logic regressed to not call `setgroups(0, NULL)` before calling `exec()`, thus not dropping the original processes' groups before starting the new process. There is no issue when the parameter isn't used or when any value is used besides an empty list.

This issue only impacts CPython processes run with sufficient privilege to make the `setgroups` system call (typically `root`).

",
CVE-2023-6507,2023-12-08,,python3.7,unaffected,,,"X86,MIPS,ARM",,,,,"An issue was found in CPython 3.12.0 `subprocess` module on POSIX platforms. The issue was fixed in CPython 3.12.1 and does not affect other stable releases.

When using the `extra_groups=` parameter with an empty list as a value (ie `extra_groups=[]`) the logic regressed to not call `setgroups(0, NULL)` before calling `exec()`, thus not dropping the original processes' groups before starting the new process. There is no issue when the parameter isn't used or when any value is used besides an empty list.

This issue only impacts CPython processes run with sufficient privilege to make the `setgroups` system call (typically `root`).

",
CVE-2023-49464,2023-12-07,high,libheif,unaffected,,,"X86,MIPS,ARM",,8.8,,,libheif v1.17.5 was discovered to contain a segmentation violation via the function UncompressedImageCodec::get_luma_bits_per_pixel_from_configuration_unci.,
CVE-2023-49463,2023-12-07,high,libheif,unaffected,,,"X86,MIPS,ARM",,8.8,,,libheif v1.17.5 was discovered to contain a segmentation violation via the function find_exif_tag at /libheif/exif.cc.,
CVE-2023-49462,2023-12-07,high,libheif,unaffected,,,"X86,MIPS,ARM",,8.8,,,libheif v1.17.5 was discovered to contain a segmentation violation via the component /libheif/exif.cc.,
CVE-2023-49460,2023-12-07,high,libheif,unaffected,,,"X86,MIPS,ARM",,8.8,,,libheif v1.17.5 was discovered to contain a segmentation violation via the function UncompressedImageCodec::decode_uncompressed_image.,
CVE-2023-47038,2023-10-30,,perl,unaffected,,,"X86,MIPS,ARM",,,,,"** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem. When the candidate has been publicized, the details for this candidate will be provided.",
CVE-2020-10370,2020-03-10,,bluez-firmware,unaffected,,,"X86,MIPS,ARM",,,,,"** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem. When the candidate has been publicized, the details for this candidate will be provided.",
CVE-2023-46814,2023-11-21,high,vlc,unaffected,,,"X86,MIPS,ARM",,7.8,,,A binary hijacking vulnerability exists within the VideoLAN VLC media player before 3.0.19 on Windows. The uninstaller attempts to execute code with elevated privileges out of a standard user writable location. Standard users may use this to gain arbitrary code execution as SYSTEM.,
CVE-2023-45853,2023-10-13,critical,minizip,fixed,1.1.1.1-deepin1,,"X86,MIPS,ARM",,9.8,,,"MiniZip in zlib through 1.3 has an integer overflow and resultant heap-based buffer overflow in zipOpenNewFileInZip4_64 via a long filename, comment, or extra field. NOTE: MiniZip is not a supported part of the zlib product.",UTSA-2023-003673
CVE-2023-47470,2023-11-15,high,ffmpeg,unaffected,,,"X86,MIPS,ARM",,7.8,,,"Buffer Overflow vulnerability in Ffmpeg before github commit 4565747056a11356210ed8edcecb920105e40b60 allows a remote attacker to achieve an out-of-array write, execute arbitrary code, and cause a denial of service (DoS) via the ref_pic_list_struct function in libavcodec/evc_ps.c",
CVE-2023-46850,2023-11-10,critical,openvpn,unaffected,,,"X86,MIPS,ARM",,9.8,,,"Use after free in OpenVPN version 2.6.0 to 2.6.6 may lead to undefined behavoir, leaking memory buffers or remote execution when sending network buffers to a remote peer.",
CVE-2023-46849,2023-11-10,high,openvpn,unaffected,,,"X86,MIPS,ARM",,7.5,,,"Using the --fragment option in certain configuration setups OpenVPN version 2.6.0 to 2.6.6 allows an attacker to trigger a divide by zero behaviour which could cause an application crash, leading to a denial of service.",
CVE-2023-44398,2023-11-06,high,exiv2,unaffected,,,"X86,MIPS,ARM",,8.8,,,"Exiv2 is a C++ library and a command-line utility to read, write, delete and modify Exif, IPTC, XMP and ICC image metadata. An out-of-bounds write was found in Exiv2 version v0.28.0. The vulnerable function, `BmffImage::brotliUncompress`, is new in v0.28.0, so earlier versions of Exiv2 are _not_ affected. The out-of-bounds write is triggered when Exiv2 is used to read the metadata of a crafted image file. An attacker could potentially exploit the vulnerability to gain code execution, if they can trick the victim into running Exiv2 on a crafted image file. This bug is fixed in version v0.28.1. Users are advised to upgrade. There are no known workarounds for this vulnerability.",
CVE-2022-46725,2023-08-14,medium,webkit2gtk,fixed,2.38.6-0+deb10u1,,"X86,MIPS,ARM",,4.3,,,A spoofing issue existed in the handling of URLs. This issue was addressed with improved input validation. This issue is fixed in iOS 16.4 and iPadOS 16.4. Visiting a malicious website may lead to address bar spoofing.,UTSA-2023-003130
CVE-2022-46705,2023-02-27,medium,webkit2gtk,fixed,2.38.6-0+deb10u1,,"X86,MIPS,ARM",,4.3,,,"A spoofing issue existed in the handling of URLs. This issue was addressed with improved input validation. This issue is fixed in iOS 16.2 and iPadOS 16.2, macOS Ventura 13.1, Safari 16.2. Visiting a malicious website may lead to address bar spoofing.",UTSA-2023-003131
CVE-2022-32933,2022-06-09,,webkit2gtk,fixed,2.38.6-0+deb10u1,,"X86,MIPS,ARM",,,,,"** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem. When the candidate has been publicized, the details for this candidate will be provided.",UTSA-2023-003132
CVE-2022-32919,2022-06-09,,webkit2gtk,fixed,2.38.6-0+deb10u1,,"X86,MIPS,ARM",,,,,"** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem. When the candidate has been publicized, the details for this candidate will be provided.",UTSA-2023-003133
CVE-2023-46407,2023-10-27,medium,ffmpeg,unaffected,,,"X86,MIPS,ARM",,5.5,,,FFmpeg prior to commit bf814 was discovered to contain an out of bounds read via the dist->alphabet_size variable in the read_vlc_prefix() function.,
CVE-2023-34059,2023-10-27,high,open-vm-tools,fixed,2:10.3.10.4-deepin1,,"X86,MIPS,ARM",,7,,,"open-vm-tools contains a file descriptor hijack vulnerability in the vmware-user-suid-wrapper. A malicious actor with non-root privileges may be able to hijack the 
/dev/uinput file descriptor allowing them to simulate user inputs.",UTSA-2023-003558
CVE-2023-34058,2023-10-27,high,open-vm-tools,fixed,2:10.3.10.4-deepin1,,"X86,MIPS,ARM",,7.5,,,VMware Tools contains a SAML token signature bypass vulnerability. A malicious actor that has been granted  Guest Operation Privileges https://docs.vmware.com/en/VMware-vSphere/8.0/vsphere-security/GUID-6A952214-0E5E-4CCF-9D2A-90948FF643EC.html  in a target virtual machine may be able to elevate their privileges if that target virtual machine has been assigned a more privileged  Guest Alias https://vdc-download.vmware.com/vmwb-repository/dcr-public/d1902b0e-d479-46bf-8ac9-cee0e31e8ec0/07ce8dbd-db48-4261-9b8f-c6d3ad8ba472/vim.vm.guest.AliasManager.html .,UTSA-2023-003559
CVE-2023-5380,2023-10-25,medium,xorg-server,fixed,2:1.20.4.62-1+dde,,"X86,MIPS,ARM",,4.7,,,"A use-after-free flaw was found in the xorg-x11-server. An X server crash may occur in a very specific and legacy configuration (a multi-screen setup with multiple protocol screens, also known as Zaphod mode) if the pointer is warped from within a window on one screen to the root window of the other screen and if the original window is destroyed followed by another window being destroyed.",UTSA-2023-003507
CVE-2023-5367,2023-10-25,high,xorg-server,fixed,2:1.20.4.62-1+dde,,"X86,MIPS,ARM",,7.8,,,"A out-of-bounds write flaw was found in the xorg-x11-server. This issue occurs due to an incorrect calculation of a buffer offset when copying data stored in the heap in the XIChangeDeviceProperty function in Xi/xiproperty.c and in RRChangeOutputProperty function in randr/rrproperty.c, allowing for possible escalation of privileges or denial of service.",UTSA-2023-003508
CVE-2023-5363,2023-10-24,high,openssl,unaffected,,,"X86,MIPS,ARM",,7.5,,,"Issue summary: A bug has been identified in the processing of key and
initialisation vector (IV) lengths.  This can lead to potential truncation
or overruns during the initialisation of some symmetric ciphers.

Impact summary: A truncation in the IV can result in non-uniqueness,
which could result in loss of confidentiality for some cipher modes.

When calling EVP_EncryptInit_ex2(), EVP_DecryptInit_ex2() or
EVP_CipherInit_ex2() the provided OSSL_PARAM array is processed after
the key and IV have been established.  Any alterations to the key length,
via the ""keylen"" parameter or the IV length, via the ""ivlen"" parameter,
within the OSSL_PARAM array will not take effect as intended, potentially
causing truncation or overreading of these values.  The following ciphers
and cipher modes are impacted: RC2, RC4, RC5, CCM, GCM and OCB.

For the CCM, GCM and OCB cipher modes, truncation of the IV can result in
loss of confidentiality.  For example, when following NIST's SP 800-38D
section 8.2.1 guidance for constructing a deterministic IV for AES in
GCM mode, truncation of the counter portion could lead to IV reuse.

Both truncations and overruns of the key and overruns of the IV will
produce incorrect results and could, in some cases, trigger a memory
exception.  However, these issues are not currently assessed as security
critical.

Changing the key and/or IV lengths is not considered to be a common operation
and the vulnerable API was recently introduced. Furthermore it is likely that
application developers will have spotted this problem during testing since
decryption would fail unless both peers in the communication were similarly
vulnerable. For these reasons we expect the probability of an application being
vulnerable to this to be quite low. However if an application is vulnerable then
this issue is considered very serious. For these reasons we have assessed this
issue as Moderate severity overall.

The OpenSSL SSL/TLS implementation is not affected by this issue.

The OpenSSL 3.0 and 3.1 FIPS providers are not affected by this because
the issue lies outside of the FIPS provider boundary.

OpenSSL 3.1 and 3.0 are vulnerable to this issue.",
CVE-2023-5568,2023-10-24,medium,samba,unaffected,,,"X86,MIPS,ARM",,6.5,,,"A heap-based Buffer Overflow flaw was discovered in Samba. It could allow a remote, authenticated attacker to exploit this vulnerability to cause a denial of service.",
CVE-2023-45871,2023-10-14,critical,kernel-4.19,fixed,4.19.90-5069,,"X86,MIPS,ARM",,9.8,,,An issue was discovered in drivers/net/ethernet/intel/igb/igb_main.c in the IGB driver in the Linux kernel before 6.5.3. A buffer size may not be adequate for frames larger than the MTU.,UTSA-2023-003068
CVE-2023-45862,2023-10-14,high,kernel-4.19,fixed,4.19.90-5069,,"X86,MIPS,ARM",,7.5,,,An issue was discovered in drivers/usb/storage/ene_ub6250.c for the ENE UB6250 reader driver in the Linux kernel before 6.2.5. An object could potentially extend beyond the end of an allocation.,UTSA-2023-003069
CVE-2023-44487,2023-10-10,high,nghttp2,fixed,1.36.0.2-deepin1,,"X86,MIPS,ARM",,7.5,,,"The HTTP/2 protocol allows a denial of service (server resource consumption) because request cancellation can reset many streams quickly, as exploited in the wild in August through October 2023.",UTSA-2023-003070
